Ci,PAR,Observed 
42.71124566,1999.392456,46.43123821
34.33137236,1800.329834,44.66710978
45.16571703,1500.880981,42.09997227
50.19514231,1250.968994,37.07738201
55.86335379,999.9518433,32.71613994
63.0606483,750.8319702,25.6805055
87.91595577,499.8261414,18.62047014
154.0664924,249.7073517,9.126648399
320.1842682,40.07968903,1.174311285
